Temperature 1 (K),Temperature 2 (K),Temperature 3 (K),Uncertainty (K),Time (s)
324.15,334.9,341.15,2.25,687
325.15,335.65,340.65,2.25,688
324.15,334.65,340.65,2.25,689
323.65,334.65,340.65,2.25,690
323.9,335.15,340.65,2.25,691
323.9,334.9,340.9,2.25,692
324.65,334.4,340.9,2.25,693
325.15,335.15,340.15,2.25,694
324.15,334.65,340.9,2.25,695
323.9,334.65,340.9,2.25,696
324.15,335.15,340.65,2.25,697
323.65,334.9,340.4,2.25,698
323.9,334.65,340.9,2.25,699
323.9,334.9,340.65,2.25,700
323.9,334.9,340.65,2.25,701
323.9,334.65,340.65,2.25,702
323.9,335.15,340.4,2.25,703
324.65,335.15,340.15,2.25,704
323.4,334.65,340.4,2.25,705
323.4,334.4,340.4,2.25,706
323.4,334.65,340.15,2.25,707
323.9,334.9,340.4,2.25,708
323.65,334.4,340.15,2.25,709
323.65,334.65,340.15,2.25,710
323.65,334.4,340.65,2.25,711
323.4,334.65,340.15,2.25,712
323.65,335.15,340.4,2.25,713
323.4,334.15,340.4,2.25,714
323.65,334.4,340.4,2.25,715
323.65,334.4,339.4,2.25,716
323.65,334.4,339.65,2.25,717
323.4,333.9,339.9,2.25,718
323.4,333.9,340.15,2.25,719
323.15,334.4,339.9,2.25,720
323.4,334.4,340.15,2.25,721
322.9,334.4,339.65,2.25,722
323.4,334.15,339.9,2.25,723
323.4,334.4,339.9,2.25,724
323.15,334.4,339.9,2.25,725
323.4,334.15,339.4,2.25,726
323.15,333.9,339.9,2.25,727
322.65,333.9,339.9,2.25,728
322.9,334.15,339.9,2.25,729
323.15,333.65,339.9,2.25,730
322.65,334.15,340.15,2.25,731
323.15,334.15,339.9,2.25,732
322.9,333.9,339.9,2.25,733
323.15,334.15,339.4,2.25,734
322.65,334.15,339.9,2.25,735
322.9,333.9,339.9,2.25,736
322.65,333.65,339.9,2.25,737
322.9,333.9,339.15,2.25,738
322.65,333.65,339.4,2.25,739
322.65,333.9,339.65,2.25,740
322.15,333.65,339.4,2.25,741
322.65,333.4,339.65,2.25,742
322.9,333.65,339.65,2.25,743
322.15,333.65,339.15,2.25,744
322.65,333.65,339.65,2.25,745
322.65,333.4,339.4,2.25,746
321.9,333.65,339.4,2.25,747
322.4,333.65,339.4,2.25,748
322.15,333.4,339.4,2.25,749
322.4,333.65,338.65,2.25,750
321.9,333.4,339.15,2.25,751
322.4,333.15,338.9,2.25,752
322.4,333.4,339.4,2.25,753
322.4,333.65,338.9,2.25,754
322.15,333.65,339.15,2.25,755
322.4,333.4,338.9,2.25,756
322.4,333.15,339.15,2.25,757
322.4,332.9,338.4,2.25,758
321.4,333.4,338.65,2.25,759
322.15,332.9,338.65,2.25,760
322.15,333.15,338.9,2.25,761
322.15,332.65,338.9,2.25,762
322.15,333.15,338.4,2.25,763
322.15,333.15,338.65,2.25,764
